Comment,Designator,Footprint,LCSC Part #
1.2k,R3,R_0402_1005Metric,C4180
100R,"R22,R23,R24,R25",R_0402_1005Metric,C25092
100k,"R5,R6,R7,R8,R26,R27,R28,R29",R_0402_1005Metric,C25741
100nF,"C6,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C28,C29,C30,C31,C32,C34,C35",C_0402_1005Metric,C1525
10k,"R9,R10,R11,R12,R13,R14,R15,R21",R_0402_1005Metric,C25744
10pF,"C8,C9",C_0402_1005Metric,C1555
10uF,"C1,C2,C3",C_0805_2012Metric,C15850
10uF,"C5,C26,C27",C_0603_1608Metric,C19702
1uF,"C7,C10,C33",C_0402_1005Metric,C52923
1uH,L2,L_0603_1608Metric,C1046
2.2uH,L1,L_0805_2012Metric,C408412
22uF,C4,C_0805_2012Metric,C45783
40MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
453k,R4,R_0402_1005Metric,C123734
5.1k,"R1,R2",R_0402_1005Metric,C25905
51k,"R16,R17,R18,R19,R20",R_0402_1005Metric,C25905
AO3400A,"Q1,Q2,Q3,Q4",SOT-23,C20917
BATT_PH2,J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C160404
BOOT,SW2,SW_SPST_CK_RS282G05A3,C720477
CAM_FFC15,J4,Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal,C2884418
ESP32-C6-MINI-1,U3,ESP32-C6-MINI-1,C3013606
ESP32-P4NRW32,U1,ESP32-P4,C22387510
ICM-42688-P,U6,DHVQFN-14-1EP_2.5x3mm_P0.5mm_EP1x1.5mm,C2840095
PMW3901MB,U9,PMW3901MB-TXQT,C2920328
RESET,SW1,SW_SPST_CK_RS282G05A3,C720477
SPL06-001,U7,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,C2684428
SS34,"D3,D4,D5,D6",D_SMA,C8678
SY8089AAAC,U5,SOT-23-5,C78988
TP4056-42-ESOP8,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm,C16581
USB-C-16P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
USBLC6-2SC6,D1,SOT-23-6,C7519
VL53L1X,U8,ST_VL53L0X,C2970716
W25Q128JVSIQ,U2,SOIC-8_3.9x4.9mm_P1.27mm,C97521
WS2812B-2020,"LED1,LED2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555
