Designator,Mid X,Mid Y,Layer,Rotation
C1,17.144,53.733,top,0
C2,9.432,62.192,top,0
C3,33.126,45.265,top,0
C4,9.743,65.596,top,0
C5,29.567,29.114,top,0
C6,23.350,59.879,top,0
C7,17.475,30.220,top,0
C8,33.800,33.000,top,0
C9,33.048,29.827,top,0
C10,33.000,42.300,top,0
C11,21.897,43.986,top,0
C12,10.626,33.898,top,0
C13,25.246,41.048,top,0
C14,18.175,45.598,top,0
C15,12.917,43.937,top,0
C16,23.362,30.276,top,0
C17,25.235,32.350,top,0
C18,10.800,31.769,top,0
C19,15.922,28.346,top,0
C20,18.698,28.127,top,0
C21,20.936,46.035,top,0
C22,15.400,46.137,top,0
C23,9.923,42.001,top,0
C24,25.845,42.873,top,0
C25,21.425,27.818,top,0
C26,18.701,50.382,top,0
C27,9.353,43.800,top,0
C28,10.499,50.621,top,0
C29,10.217,52.467,top,0
C30,28.823,44.406,top,0
C31,17.823,38.594,bottom,180
C32,18.347,45.970,bottom,180
C33,18.712,8.538,top,0
C34,6.129,19.550,top,0
C35,28.129,19.550,top,0
C36,14.525,50.871,top,0
C37,18.873,43.744,top,0
C38,25.400,37.000,top,0
C39,20.420,30.007,top,0
C40,25.414,39.077,top,0
C41,25.195,34.257,top,0
C42,15.739,43.730,top,0
D1,11.500,28.000,top,0
D3,31.298,25.283,top,0
D4,23.435,53.648,top,0
D5,4.875,51.350,top,0
D6,20.100,11.000,top,0
J1,18.000,67.000,top,0
J2,3.500,28.000,top,90
J4,18.000,4.500,top,0
L1,27.000,57.000,top,0
L2,27.407,12.119,top,0
LED1,7.000,22.000,top,0
LED2,29.000,22.000,top,0
Q1,30.000,16.000,top,0
Q2,30.000,55.000,top,0
Q3,6.000,55.000,top,0
Q4,6.000,16.000,top,0
R1,7.000,28.000,top,0
R2,7.051,30.050,top,0
R3,13.649,54.216,top,0
R4,20.365,60.141,top,0
R5,26.883,59.648,top,0
R6,22.476,51.123,top,0
R7,25.406,50.962,top,0
R8,28.108,61.489,top,0
R9,33.000,37.700,top,0
R10,33.000,47.700,top,0
R11,26.115,30.496,top,0
R12,12.650,46.266,top,0
R13,7.665,34.231,top,0
R14,15.913,26.506,top,0
R15,19.219,47.932,top,0
R16,24.381,28.040,top,0
R17,16.076,48.135,top,0
R18,18.878,25.734,top,0
R19,24.001,46.927,top,0
R20,28.611,42.387,top,0
R21,27.600,64.000,top,0
R22,21.942,25.772,top,0
R23,6.922,42.112,top,0
R24,22.128,48.799,top,0
R25,13.216,48.548,top,0
R26,31.388,18.883,top,0
R27,33.800,55.000,top,0
R28,7.388,57.883,top,0
R29,7.388,13.117,top,0
R30,28.400,37.000,top,0
R31,24.640,45.004,top,0
SW1,33.000,40.000,top,0
SW2,33.000,50.000,top,0
U1,18.000,37.000,top,0
U2,9.000,38.000,top,0
U3,18.000,16.000,top,0
U4,14.000,58.000,top,0
U5,23.000,57.000,top,0
U6,8.000,47.000,top,0
U7,29.000,47.000,top,0
U8,18.000,36.000,bottom,180
U9,18.000,44.000,bottom,180
U10,14.174,11.283,top,0
Y1,30.000,33.000,top,0
